pot,region,pop,geno,lab,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_final,flwr_mass_1.2,flwr_mass_4,flwr_mass_lifetime,did_flwr,flwr_count_1.2,flwr_len_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,ht.91-130,ht.80-90,ht.70-79,ht.49-69,ht.38-48,ht.30-37,ht.20-29,ht.10-19,ht.1-9,avg_predawn_mpa_expt,avg_midday_mpa_expt,avg_predawn_mpa_drydown,avg_midday_mpa_drydown,roottoshoot,biomass_total
323,Boulder,RM,17,RM17,19.16,0.87,0.78,3.2,0,-0.0122,-0.0112,-0.0234,0,-3,-3.7,0.37333,-0.09566,8.99,8.98,8.55,8.9,8.89,6.7334,2.1,1.0333,-2.3333,0.05,-4.35,-4.35,NA,NA,-0.264631695,5.3259
341,N. Colorado,SGS,1,SGS01,19.295,NA,NA,NA,NA,-0.0481,0.0189,-0.0292,0,-2,-1.9,0.3028,-3.85,5.1,11.375,10.5,13.2,10.245,NA,3.6334,-10.75,-8.5333,-4.6333,NA,NA,0.05,0.35,NA,NA
342,N. Colorado,SGS,2,SGS02,18.02875,-1.05,-1.15,-4.13,-0.7934,-0.1984,-0.7934,-1.7852,0,-14,-45.2,NA,NA,-12.75,-19.3,-24.5,-29.2,-42.615,NA,-41.5334,-36.4,-17.2,-2.1667,5.5,2.17,NA,NA,0.864589333,9.8586
343,N. Colorado,SGS,3,SGS03,19.41166667,NA,NA,NA,NA,0.1963,-0.0563,0.14,0,8,31.6,0.51696,0.83793,0.6,5.05,6.4,7.5,6.925,NA,8.8667,7.4,10.8,2.6333,NA,NA,-0.25,0.25,NA,NA
344,N. Colorado,SGS,4,SGS04,19.6,-1.49,-1.09,-3.54,-0.3784,-0.1528,-0.3784,-0.9096,0,-14,-54.6,NA,NA,-20.65,-10.8833,-30.8,-48.1,-74.25,NA,-51.6667,-34.55,-14.6,-1.6,3.1,1.3,NA,NA,0.114164986,8.867
345,N. Colorado,SGS,5,SGS05,17.85166667,2.23,2.19,0.6,-0.2059,0.0715,-0.2059,-0.3403,0,11,39.3,-0.46,-3.135,-13.1,-13.7067,-12.9,-12.9,-11.26,NA,-3.1667,0.65,0.4667,1.1334,-1.63,-1.03,0.4,0.8,0.796130303,6.8197
346,N. Colorado,SGS,6,SGS06,19.02666667,NA,NA,NA,NA,-0.0388,0.0818,0.1248,0,-6,-14.9,NA,NA,-1.4,4.2667,-3.1,-9.9,-18.5425,NA,-21.3,-11.35,-6.0333,-1.2333,NA,NA,NA,NA,NA,NA
347,N. Colorado,SGS,7,SGS07,17.975,1.6,1.34,3.06,0.0615,0.1572,0.0615,0.2802,0,15,40.8,0.03957,0.73921,5.3,9.2166,8.9,4.5,7.2775,NA,1.6,-5.8,-2.1333,-0.7,1.4,-1.5,0.7,-0.1,0.022139002,8.4366
348,N. Colorado,SGS,8,SGS08,16.78666667,0.89,0.01,0.77,-0.1409,0.0034,-0.1409,-0.2784,0,3,7.1,-0.2075,-1.97143,13,8.6,-3.5,-3.9,-2.585,NA,-13.0334,-2.8,-2.5667,0,0.25,1.5,-0.35,-1.05,0.087298761,9.5647
349,N. Colorado,SGS,9,SGS09,19.825,0.83,0.57,-0.79,-0.1874,0.0011,-0.1874,-0.3737,0,2,0.8,-0.96667,-5.095,-5,-0.9334,9.2,-1,-4.265,NA,-10.3667,-17.55,-16.0667,-1.2333,2.12,1.11,-0.05,0.2,0.538751276,6.933
350,N. Colorado,SGS,10,SGS10,18.62222222,1.17,1.38,0.95,-0.3241,0.1493,-0.3241,-0.4989,0,12,39.3,0.16111,3.3725,-9.6,2.05,6.2,6.7,4.9875,NA,0.2666,1.75,5.1,3.6667,2.63,2.67,0.35,0.3,0.42489741,8.2275
351,N. Colorado,SGS,11,SGS11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8,NA,NA,NA,NA,NA,4.5667,2,-0.8667,-0.4,NA,NA,NA,NA,NA,NA
352,N. Colorado,SGS,12,SGS12,18.68333333,NA,NA,NA,NA,0.2293,-0.2435,-0.0142,0,18,52,-0.05111,-0.38425,20,22.45,19.6,20.1,21.245,NA,15.5,3.95,4.3333,0.3333,NA,NA,NA,NA,NA,NA
353,N. Colorado,SGS,13,SGS13,19.11666666,NA,NA,NA,NA,-0.1612,0.2123,0.2634,0,-21,-72.2,-1.09692,-4.11428,-12.1,-17.4667,-21.2,-21.2,-14.485,NA,-22.5333,-19.1,-11.5667,-4.3334,NA,NA,NA,NA,NA,NA
354,N. Colorado,SGS,14,SGS14,18.08333334,NA,NA,NA,NA,0.1323,-0.2278,-0.0955,0,12,41.4,0.13186,-0.70179,15.2,23.275,24.6,20.2,20.61,NA,-3.9,-0.6,0.5,1,-0.75,-1.17,NA,NA,NA,NA
355,N. Colorado,SGS,15,SGS15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50.7,NA,NA,NA,NA,NA,-38.6667,-20.45,-11.2334,-0.8667,NA,NA,NA,NA,NA,NA
356,N. Colorado,SGS,16,SGS16,21.285,-0.65,-0.38,-2.73,-0.3023,-0.0953,-0.3023,-0.6999,0,-7,-21.8,NA,NA,-1.4,0.34,-8.3,-23,-29.5275,NA,-32.5333,-24.4,-14.9,-3.5,3.92,1.15,NA,NA,0.238311345,7.9367
357,N. Colorado,SGS,17,SGS17,20.33333333,NA,NA,NA,NA,-0.2176,0.21,0.2024,0,-14,-46.9,-0.14,-6.04091,6,5.75,5.4,6.6,5.59,NA,-9.7667,-9.8,-9.6333,-2.8,NA,NA,NA,NA,NA,NA
375,S. Colorado,CO,1,CO01,13.825,NA,NA,NA,NA,NA,NA,NA,1,21,73.5,NA,NA,79.495,NA,NA,NA,61.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,S. Colorado,CO,2,CO02,16.46714286,1.3,0.13,0.34,-0.0321,0.0265,-0.0321,-0.0377,0,1,2.5,NA,NA,0.5,1.6,15.4,NA,22.225,NA,NA,NA,NA,NA,0.49,-0.32,NA,NA,0.518119686,3.3758
377,S. Colorado,CO,3,CO03,18.3125,NA,NA,NA,NA,NA,NA,NA,-1,-8,-25.7,NA,NA,-57.2,-54.64,-49.4,NA,-51.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,S. Colorado,CO,4,CO04,19.0125,-1.47,-0.24,-2.43,-0.2656,-0.0309,-0.2656,-0.5621,0,-3,-7.8,NA,NA,-17.5,-12.28,-6,NA,0.635,NA,NA,NA,NA,NA,4.4,1.93,NA,NA,0.090746763,6.7207
379,S. Colorado,CO,5,CO05,17.08875,NA,NA,NA,NA,0.1476,0.1594,0.307,0,10,39.3,0.33125,9.18194,-1.8,-2.6333,2.95,NA,17.145,NA,NA,NA,NA,NA,0.9,0.8,-0.25,0.15,NA,NA
380,S. Colorado,CO,6,CO06,18.67,2.81,2.17,3.16,-0.2669,0.1433,-0.2669,-0.3905,0,21,51.6,0.04444,1.40733,10.5,9.18,10.45,NA,10.795,NA,NA,NA,NA,NA,1.03,0.95,0,0.25,0.375596676,9.0327
381,S. Colorado,CO,7,CO07,17.43333334,2.92,0.62,3.7,-0.0081,0.1294,-0.0081,0.1132,0,9,29.9,0.22834,3.10203,14.6,13.8,15.9,NA,5.715,NA,NA,NA,NA,NA,-2.03,-2.11,0.7,1,0.094406896,7.4329
382,S. Colorado,CO,8,CO08,18.81,NA,NA,NA,NA,-0.043,0,-0.043,0,-8,-21.9,-0.03096,1.99286,4.1,4.2,-2.7,NA,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,S. Colorado,CO,9,CO09,20.39,NA,NA,NA,NA,-0.0164,0.1679,0.3194,0,2,3.7,-0.63333,-4.25238,2.3,-3.24,-10.2,NA,4.445,NA,NA,NA,NA,NA,NA,NA,0.65,1.45,NA,NA
384,S. Colorado,CO,10,CO10,18.85892857,NA,NA,NA,NA,-0.0144,0.0547,0.0403,0,2,11.2,0.29122,-3.57018,32.05,37.5667,23,NA,2.54,NA,NA,NA,NA,NA,2.24,0.99,0.5,0.95,NA,NA
385,S. Colorado,CO,11,CO11,18.38333333,NA,NA,NA,NA,0.0252,0.0819,0.189,0,6,18.3,-0.16667,-6.275,16.6,3.78,17.8,NA,1.905,NA,NA,NA,NA,NA,NA,NA,-0.1,0.1,NA,NA
386,S. Colorado,CO,12,CO12,17.99333333,NA,NA,NA,NA,0.1801,0.1898,0.3699,0,20,45.9,-0.22658,1.07976,15.97,19.9333,12.75,NA,6.985,NA,NA,NA,NA,NA,-1.22,-0.45,0.25,0.15,NA,NA
387,S. Colorado,CO,13,CO13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.8,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,S. Colorado,CO,14,CO14,17.04,2.83,1.37,2.24,-0.216,0.0819,-0.216,-0.3501,0,8,29.6,NA,NA,-15,-17.58,-7.85,NA,29.845,NA,NA,NA,NA,NA,0.53,0.35,0,0.4,0.530767161,5.9806
389,S. Colorado,CO,15,CO15,17.90833333,NA,NA,NA,NA,-0.0382,0.4672,0.8962,0,-3,-3.7,0.75556,-2.45325,16.8,26.13,11.8,NA,13.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,S. Colorado,CO,16,CO16,19.04166667,1.96,0.6,3.54,0.1586,0.0172,0.1586,0.3344,0,2,5.5,0.11587,0.53,21.5,24.5533,18.45,NA,12.7,NA,NA,NA,NA,NA,-0.33,-0.19,NA,NA,-0.066788688,7.5603
391,S. Colorado,CO,17,CO17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,S. Dakota,BG,1,BG01,15.85833333,NA,NA,NA,NA,0.0586,0.2992,0.3578,0,7,9.6,-0.37,4.245,5.5,8.1667,5.95,NA,5.08,NA,NA,NA,NA,NA,-1.03,-0.58,0.2,2.6,NA,NA
410,S. Dakota,BG,2,BG02,15.775,NA,NA,NA,NA,0.0646,0.5476,1.1598,0,6,12.2,0.64444,6.78864,22.4,22.6267,20.75,NA,10.16,NA,NA,NA,NA,NA,NA,NA,0.05,0.1,NA,NA
411,S. Dakota,BG,3,BG03,19.53571429,0.03,0.03,-1.33,-0.272,0.0082,-0.272,-0.5358,0,1,2.8,0.33333,-1.87333,5.7,9.605,4.25,NA,-6.985,NA,NA,NA,NA,NA,3.45,2.1,0.05,0.7,0.35112726,8.4983
412,S. Dakota,BG,4,BG04,18.79125,NA,NA,NA,NA,0.0098,0,0.0098,0,4,0,-0.76884,-3.57115,-11.2,-16.56,-16.8,NA,-20.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,S. Dakota,BG,5,BG05,19.01190476,-0.59,-1.14,-1.62,0.111,-0.0201,0.111,0.2019,0,-2,-3.8,0.26667,-1.86,12.5,11.62,-1.05,NA,1.27,NA,NA,NA,NA,NA,2.6,2.31,0.3,0.9,-0.263930374,6.3903
414,S. Dakota,BG,6,BG06,15.5025,NA,NA,NA,NA,0.1266,0.096,0.2226,0,17,35.4,-0.06053,-4.0619,20,19.6,19.55,NA,18.415,NA,NA,NA,NA,NA,-0.23,-0.01,0.5,0.25,NA,NA
415,S. Dakota,BG,7,BG07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,S. Dakota,BG,8,BG08,16.5575,0.73,0.99,1.03,0.0579,-0.0048,0.0579,0.111,0,1,4.1,0.27333,-1.94643,11.6,13.22,0.6,NA,-12.7,NA,NA,NA,NA,NA,1.7,2.25,0.6,0.8,0.223632656,5.6157
417,S. Dakota,BG,9,BG09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,S. Dakota,BG,10,BG10,18.71111111,NA,NA,NA,NA,0.2193,-0.069,0.1503,0,20,48.6,NA,NA,-6.1,3.2667,13.05,NA,6.35,NA,NA,NA,NA,NA,0.78,0.42,0.3,0.95,NA,NA
419,S. Dakota,BG,11,BG11,19.6875,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,S. Dakota,BG,12,BG12,20.46,NA,NA,NA,NA,-0.0376,-0.1095,-0.1471,0,-1,-7.3,-0.56111,-6.23,-12.6,-16.3333,-18.9,NA,-18.415,NA,NA,NA,NA,NA,0.05,-0.05,NA,NA,NA,NA
421,S. Dakota,BG,13,BG13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,S. Dakota,BG,14,BG14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,S. Dakota,BG,15,BG15,18.43194444,-0.02,-0.84,0.18,0,-0.0157,0,-0.0157,0,-5,-10.6,-0.11674,-2.51654,-1.6,-1.4917,-2.15,NA,-8.89,NA,NA,NA,NA,NA,1.66,1.32,NA,NA,-0.215954216,10.0138
424,S. Dakota,BG,16,BG16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,S. Dakota,BG,17,BG17,14.785,NA,NA,NA,NA,-0.0039,0,-0.0039,0,-1,-1.4,0.08462,1.02524,0.9,-2.75,-4.8,NA,-3.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,New Mexico,SEV,1,SEV01,18.95625,3.14,0.77,3.25,0.1598,0.0934,0.1598,0.413,0,3,16.8,0.32163,3.38444,23.4,21.4333,11.1,10.5,5.9,NA,-0.635,NA,NA,NA,NA,NA,1.35,2.95,0.207350157,7.5656
462,New Mexico,SEV,2,SEV02,18.865,NA,NA,NA,NA,-0.0444,-0.1237,-0.0444,0,0,-6.4,-0.53333,-4.33572,12.4,NA,13,11.85,8.3,NA,10.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,New Mexico,SEV,3,SEV03,18.37,NA,NA,NA,NA,-0.0104,0.0412,0.072,0,-2,-4.7,0.22,3.73571,20.6,NA,18.7,21.1,16,NA,-4.445,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,New Mexico,SEV,4,SEV04,20.08125,NA,NA,NA,NA,0.0187,0.0282,0.0469,0,1,2.5,-0.00972,-2.80273,11.1,10.3333,10.3,9.2,10.5,NA,3.81,NA,NA,NA,NA,NA,2.6,1.55,NA,NA
465,New Mexico,SEV,5,SEV05,18.20333333,0.99,0.9,5.28,0.1579,0.1889,0.1579,0.5047,0,24,69.2,-0.28,-0.28794,9.6,5.1333,9.6,8.2,5.2,NA,7.62,NA,NA,NA,NA,NA,NA,NA,-0.072291986,7.9504
464,New Mexico,SEV,6,SEV06,17.28333333,NA,NA,NA,NA,0.0237,-0.2513,-0.4789,0,3,13.6,0.53929,-0.53889,20.6,23.1667,18.6,18.8,11.6,NA,-1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,New Mexico,SEV,7,SEV07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,New Mexico,SEV,8,SEV08,17.72166667,1.03,0.19,2.23,0.1566,0.005,0.1566,0.3182,0,0,2.3,0.25556,-1.1,21.4,15.8,21.8,22,29.7,NA,5.715,NA,NA,NA,2.5,2.2,NA,NA,0.009525455,8.6779
469,New Mexico,SEV,9,SEV09,18.10833333,2.03,0.42,2.52,-0.1071,0.1443,-0.1071,-0.0699,0,9,32.6,0.28309,5.56316,19.2,14.5666,18.3,25.85,NA,NA,8.255,NA,NA,NA,1.8,-1.25,NA,NA,0.134386268,10.062
452,New Mexico,SEV,10,SEV10,19.10833333,NA,NA,NA,NA,-0.0358,-0.0111,-0.0469,0,0,1.3,0.1625,-4.22,11,16.6667,11.2,10.4,10.4,NA,0.635,NA,NA,NA,NA,NA,1,3.4,NA,NA
470,New Mexico,SEV,11,SEV11,18.40357143,NA,NA,NA,NA,0.0131,0.3904,0.7939,0,1,9.4,0.61889,-0.89318,7.3,NA,-0.3,-1.25,6.8,NA,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,New Mexico,SEV,12,SEV12,16.54166666,NA,NA,NA,NA,0.07,0.3627,0.7954,0,4,17.4,0.58961,0.9875,9.5,NA,9.5,7.6,7.8,NA,13.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,New Mexico,SEV,13,SEV13,15.8025,1.14,-0.16,0.62,-0.2406,-0.0253,-0.2406,-0.5065,0,-2,-5,0.22917,-0.04429,6.6,5.5667,6.6,6.6,5.4,NA,-6.985,NA,NA,NA,NA,NA,0.9,1.4,0.155660658,9.3064
454,New Mexico,SEV,14,SEV14,17.56666667,NA,NA,NA,NA,-0.062,-0.0045,-0.0665,0,-4,-10.1,0.00497,-1.74772,17.9,23.2667,22.7,17.95,9.6,NA,-3.175,NA,NA,NA,NA,NA,4,1.7,NA,NA
475,New Mexico,SEV,15,SEV15,17.43,-0.41,0.19,0.7,-0.0328,-0.0261,-0.0328,-0.0917,0,-6,-17.5,-0.01,1.325,5,5.0333,0.2,-6.95,-4.1,NA,5.715,NA,NA,NA,2.41,0.45,1.35,0.4,-0.082985124,9.6885
476,New Mexico,SEV,16,SEV16,20.2725,-0.06,0.23,-0.34,0.0825,-0.0141,0.0825,0.1509,0,-7,-19.6,0.59231,4.09333,11.7,9.2,11.7,6.6,-3.2,NA,0,NA,NA,NA,4.91,4.67,0,0.15,0.044181391,9.449
460,New Mexico,SEV,17,SEV17,17.525,0.03,-0.07,0.63,0.2312,-0.0248,0.2312,0.4376,0,-1,-8.4,-0.6619,-1.425,5.6,5.4667,5.6,6.3,14.2,NA,-7.62,NA,NA,NA,3.74,2.02,NA,NA,-0.125253126,8.1162
477,New Mexico,CIB,1,CI01,18.41,2.5,1.87,5.8,0.3821,0.257,0.3821,1.0212,0,12,65.6,0.40417,1.36538,9.4,9.6667,17.2,8.15,6,NA,6.35,NA,NA,NA,NA,NA,-2.65,-2.35,0.143345255,10.5371
478,New Mexico,CIB,2,CI02,16.7375,1.4,0.78,4.03,0.1254,0.2176,0.1254,0.4684,0,24,68.8,0.61538,5.45714,3.6,0.7334,2.1,2.85,11.9,NA,41.91,NA,NA,NA,NA,NA,0,-0.35,-0.043910456,8.3098
479,New Mexico,CIB,3,CI03,18.72125,2.07,0.12,2.12,-0.1257,-0.0157,-0.1257,-0.2671,0,1,6.9,0.52679,-2.86778,6.3,7.1333,11.6,13.9,8.1,NA,3.81,NA,NA,NA,NA,NA,-0.1,-0.3,0.245338475,6.0138
480,New Mexico,CIB,4,CI04,18.70892857,1.91,0.85,3.11,0.0102,0.0631,0.0102,0.0835,0,6,23.8,0.43297,2.36222,15.3,15.2667,8.9,8.1,8.4,NA,16.51,NA,NA,NA,NA,NA,2.4,2.4,0.190621606,7.64
481,New Mexico,CIB,5,CI05,19.46666666,0.64,0.01,2.56,-0.2882,-0.002,-0.2882,-0.5784,0,5,6.6,-0.25714,-1.84372,-4.1,-3.9333,9.8,8.1,5.9,NA,7.62,NA,NA,NA,-0.67,0.64,NA,NA,-0.032144568,9.701
482,New Mexico,CIB,6,CI06,19.26666667,NA,NA,NA,NA,0.0274,0.0365,0.2922,0,3,8.6,-0.14286,-3.83,6.5,3.3666,9.1,2.65,3.6,NA,1.905,NA,NA,NA,4.99,3.39,NA,NA,NA,NA
483,New Mexico,CIB,7,CI07,18.7875,NA,NA,NA,NA,0.0681,-0.0299,0.5523,0,3,17.4,0.61705,2.41538,9.4,9.5,13.2,15.7,13.8,NA,25.4,NA,NA,NA,2.4,3.27,NA,NA,NA,NA
484,New Mexico,CIB,8,CI08,17.99666667,2.9,1.03,5.48,-0.1342,0.2461,-0.22,-0.1081,0,14,41,0.06475,4.66428,8.2,5.7333,7.4,7.85,6,NA,7.62,NA,NA,NA,-0.08,-1.21,NA,NA,0.074539091,8.8913
485,New Mexico,CIB,9,CI09,19.81,0.65,0.59,1.6,-0.0778,-0.0749,-0.0778,-0.2305,0,-4,-13.4,0.48571,-3.43333,16.9,19.4667,16.9,9.9,5.1,NA,-19.685,NA,NA,NA,0.85,-0.99,NA,NA,0.080897177,9.2971
486,New Mexico,CIB,10,CI10,18.42142857,3.55,1.43,0.98,0.1363,0.0762,0.1363,0.3488,0,6,28.4,0.24885,2.00455,2.9,NA,2.4,3.5,3.7,NA,20.32,NA,NA,NA,NA,NA,NA,NA,0.619191647,8.3091
487,New Mexico,CIB,11,CI11,19.04166666,NA,NA,NA,NA,0.0553,-0.1286,0.0019,0,5,18.3,-0.08214,0.0375,23.6,17.0333,9.8,16.35,13.9,NA,-7.62,NA,NA,NA,NA,NA,2.7,2.05,NA,NA
488,New Mexico,CIB,12,CI12,18.78095238,0.65,-0.49,0.82,-0.0203,-0.0025,-0.0203,-0.0431,0,-2,-5,0.13651,1.43738,8.4,2.0334,8,5,6,NA,12.7,NA,NA,NA,NA,NA,2.8,0,-0.04585039,9.0054
489,New Mexico,CIB,13,CI13,19.78571429,1.68,0.88,4.49,0.7196,0.052,0.7196,1.4912,0,-1,15.7,1.05965,2.95857,12.1,14.4333,11,12.15,79,NA,5.08,NA,NA,NA,NA,NA,NA,NA,-0.084455091,8.1544
490,New Mexico,CIB,14,CI14,18.5125,NA,NA,NA,NA,0.0842,-0.0429,0.3013,0,14,33.1,-0.01475,-1.66786,-0.4,-3.9333,-5.1,-6.3,-0.7,NA,0.635,NA,NA,NA,NA,NA,1.05,0.3,NA,NA
491,New Mexico,CIB,15,CI15,18.55238096,-0.43,-0.3,-4.5,-0.3854,-0.0432,-0.3854,-0.814,0,-5,-24.3,-0.57917,-7.23,0.6,-1.8667,-3.9,-3.55,1,NA,-11.43,NA,NA,NA,NA,NA,NA,NA,0.299319144,9.9548
492,New Mexico,CIB,16,CI16,18.49333333,2.11,0.68,2.53,0.2676,0.0913,0.3223,0.6812,0,4,13.9,-0.06242,-0.32986,7.7,8.3,7.7,8.2,7.2,NA,6.985,NA,NA,NA,NA,NA,NA,NA,0.165039794,10.349
493,New Mexico,CIB,17,CI17,18.75416667,2.09,-0.59,2.71,0.038,0.0737,0.0019,0.1136,0,10,28,-0.42017,-0.63816,17.1,6.4,6.2,17.1,9.2,NA,1.905,NA,NA,NA,NA,NA,NA,NA,0.007949653,9.8667