pot,region,pop,trt,geno,lab,alt_lab1,alt_lab2,group,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,
1,Boulder,A,ND,1,A01,A1ND,NDA1,2,28.8375,0.71,0.95,1.52,0.2027,12,2.95833,11.93571,54.61,-2.6,-1.8,0
2,Boulder,A,ND,2,A02,A2ND,NDA2,2,30.29,1.04,0.96,2.04,0.1053,0,NA,NA,76.6,-2.5,-2.4,2
3,Boulder,A,ND,3,A03,A3ND,NDA3,2,32.95,no pot,no pot,no pot,NA,0,NA,NA,8.5,NA,NA,5
4,Boulder,A,ND,4,A04,A4ND,NDA4,2,29.72,1.03,0.64,2.24,0.1684,6,2.28333,6.1125,61.3,-5.45,-5.85,0
5,Boulder,A,ND,5,A05,A5ND,NDA5,2,29.13,1.07,0.7,2.73,0.0987,4,1.45,1.4,64,NA,NA,2
6,Boulder,A,ND,6,A06,A6ND,NDA6,2,28.35,1.7,1.47,3.35,0.3391,18,3.2,18.885,71.8,NA,NA,2
7,Boulder,A,ND,7,A07,A7ND,NDA7,2,30.01666667,0.9,0.9,2.36,0.2204,4,2.8,14.84,69.4,-2.5,-2.55,0
8,Boulder,A,ND,8,A08,A8ND,NDA8,2,30.4,no pot,no pot,no pot,NA,0,NA,NA,9.3,NA,NA,5
9,Boulder,A,ND,9,A09,A9ND,NDA9,2,29.46,0.22,0.59,0.75,0.0634,0,NA,NA,70.8,NA,NA,4
10,Boulder,A,ND,10,A10,A10ND,NDA10,2,30.42,0.62,0.7,1.31,0.1849,2,2.55,4.55,63,-1.3,-2.05,0
11,Boulder,A,ND,11,A11,A11ND,NDA11,2,27.1,no pot,no pot,no pot,NA,0,NA,NA,12.6,NA,NA,5
12,Boulder,A,ND,12,A12,A12ND,NDA12,2,30.73,0.57,0.82,1.72,0.1227,2,2.55,8.7,52.6,-0.6,-2.05,0
13,Boulder,A,ND,13,A13,A13ND,NDA13,2,29.85,0.58,1.02,1.64,0.0844,1,4.6,13.75,78.5,-2.3,-2.4,0
14,Boulder,A,ND,14,A14,A14ND,NDA14,2,33,no pot,no pot,no pot,NA,0,NA,NA,6.2,NA,NA,5
15,Boulder,A,ND,15,A15,A15ND,NDA15,2,31.1,1.09,1.29,2.36,0.0722,8,2.7375,7.24,58.6,-1.8,-2.3,0
16,Boulder,A,ND,16,A16,A16ND,NDA16,2,31.23333333,1.21,1.65,2.32,0.1188,8,3.325,7.88,59.1,-2.4,-3.05,0
17,Boulder,A,ND,17,A17,A17ND,NDA17,2,31.28333333,0.35,0.95,1.16,0.1407,1,3.5,2.85,63,NA,NA,2
18,Boulder,A,D,1,A01,A1D,DA1,1,9.785714286,0.04,0.41,0.38,0,0,NA,NA,43.6,NA,NA,4
19,Boulder,A,D,2,A02,A2D,DA2,1,11.01428571,0.13,0.72,0.66,0,0,NA,NA,45.4,-0.3,-2.3,2
20,Boulder,A,D,3,A03,A3D,DA3,1,11.8,no pot,no pot,no pot,NA,0,NA,NA,5.9,NA,NA,5
21,Boulder,A,D,4,A04,A4D,DA4,1,8.494444444,0.55,0.59,2.17,0.2018,7,2.47143,10.65714,48.8,-2.3,-4.45,0
22,Boulder,A,D,5,A05,A5D,DA5,1,12.55,no pot,no pot,no pot,NA,0,NA,NA,6.5,NA,NA,5
23,Boulder,A,D,6,A06,A6D,DA6,1,8.575,tr,tr,tr,0.086,5,2.96,17.6,65.6,NA,NA,2
24,Boulder,A,D,7,A07,A7D,DA7,1,8.583333333,0.48,1.04,2.44,0.2483,6,3.25,9.8125,59.9,-6.5,-5.35,0
25,Boulder,A,D,8,A08,A8D,DA8,1,9.95,tr,tr,tr,0.0198,2,2,4.13333,51.6,NA,NA,2
26,Boulder,A,D,9,A09,A9D,DA9,1,10.45,no pot,no pot,no pot,NA,0,NA,NA,6.5,NA,NA,5
27,Boulder,A,D,10,A10,A10D,DA10,1,9.521428571,0.12,0.25,0.3,0.0725,0,NA,NA,46.9,-1.3,-2.25,2
28,Boulder,A,D,11,A11,A11D,DA11,1,10.6,no pot,no pot,no pot,NA,0,NA,NA,6.4,NA,NA,5
29,Boulder,A,D,12,A12,A12D,DA12,1,9.327777778,0.34,0.58,1.29,0.1478,2,3.4,10.93333,48.5,-1.55,-2.1,0
30,Boulder,A,D,13,A13,A13D,DA13,1,8.235,tr,tr,tr,0.0373,4,2.55,7.06667,50.5,NA,NA,2
31,Boulder,A,D,14,A14,A14D,DA14,1,10.5,no pot,no pot,no pot,NA,0,NA,NA,8.3,NA,NA,5
32,Boulder,A,D,15,A15,A15D,DA15,1,8.21,tr,tr,tr,0.0808,8,2.4375,8.46,53.1,NA,NA,2
33,Boulder,A,D,16,A16,A16D,DA16,1,10.75,no pot,no pot,no pot,NA,0,NA,NA,7.6,NA,NA,5
34,Boulder,A,D,17,A17,A17D,DA17,1,8.9,no pot,no pot,no pot,NA,0,NA,NA,8.1,NA,NA,5
35,Boulder,K,ND,1,K01,K1ND,NDK1,16,29.3125,1.84,2.01,3.58,0.3159,27,3.04074,11.78621,50.2,-6.5,-6.5,0
36,Boulder,K,ND,2,K02,K2ND,NDK2,16,30.5,1.27,2.02,3.21,0.3528,15,3.33333,12.6875,53.3,-2.4,-3.3,0
37,Boulder,K,ND,3,K03,K3ND,NDK3,16,29.825,1.74,1.68,3.83,0.1791,18,2.44444,7.515,60.5,-4.35,-7,0
38,Boulder,K,ND,4,K04,K4ND,NDK4,16,30.8125,0.47,1.8,1.14,0.0405,2,3.5,13.8,56.9,-0.55,-1.8,0
39,Boulder,K,ND,5,K05,K5ND,NDK5,16,31.15,0.95,2.1,2.1,0.285,11,2.76364,12.39231,54.9,-0.5,-1.45,0
40,Boulder,K,ND,6,K06,K6ND,NDK6,16,29.6,1.54,2.08,3.11,0.1471,11,3.70909,11.33333,55.8,NA,NA,2
41,Boulder,K,ND,7,K07,K7ND,NDK7,16,30.93,1.19,1.72,2.74,0.385,6,3.41667,11.38571,71.9,NA,NA,2
42,Boulder,K,ND,8,K08,K8ND,NDK8,16,30.16666667,1.14,1.85,2.48,0.4744,6,3.34286,11.12222,59.8,-3.55,-3.05,0
43,Boulder,K,ND,9,K09,K9ND,NDK9,16,28.73333333,2.17,2.92,5.24,0.5516,34,3.16857,15.49189,66.8,NA,NA,2
44,Boulder,K,ND,10,K10,K10ND,NDK10,16,28.7875,1.6,1.76,3.02,0.2583,18,2.72778,10.965,60.9,NA,NA,2
45,Boulder,K,ND,11,K11,K11ND,NDK11,16,30.6,1.05,1.93,4.2,0.3211,9,3.56667,30.28,63.7,NA,NA,2
46,Boulder,K,ND,12,K12,K12ND,NDK12,16,30.825,1.33,1.75,2.68,0.088,9,3.08889,7.41818,55,-1.7,-2,0
47,Boulder,K,ND,13,K13,K13ND,NDK13,16,28.53333333,0.76,1.32,1.66,0.1558,14,2.2,10.40625,44.45,NA,NA,2
48,Boulder,K,ND,14,K14,K14ND,NDK14,16,29.88,1.06,1.48,2.12,0.0546,4,2.625,13.86,60.9,NA,NA,2
49,Boulder,K,ND,15,K15,K15ND,NDK15,16,27.525,1.66,2.69,3.77,0.082,11,3,11.13846,65.9,NA,NA,2
50,Boulder,K,ND,16,K16,K16ND,NDK16,16,29.08333333,1.14,2.5,4.39,0.1285,13,3.20769,9.15333,86.9,NA,NA,2
51,Boulder,K,ND,17,K17,K17ND,NDK17,16,29.1,1.95,1.97,4.29,0.2875,18,2.67222,18.27,83,NA,NA,2
52,Boulder,K,D,1,K01,K1D,DK1,15,7.94375,1.23,1.97,2.22,0.0538,7,3.81429,6,48.2,-6,-6.5,0
53,Boulder,K,D,2,K02,K2D,DK2,15,8.835714286,0.72,1.17,2.04,0.1427,11,3.23636,10.19231,52.1,-3,-6.5,0
54,Boulder,K,D,3,K03,K3D,DK3,15,10.9375,0.75,0.95,3.32,0.0895,7,2.58571,5.4125,56,-2.55,-2.55,0
55,Boulder,K,D,4,K04,K4D,DK4,15,8.385714286,0.74,1.52,2.8,0.1885,14,2.63571,9.16875,53.4,-2.55,-3.55,0
56,Boulder,K,D,5,K05,K5D,DK5,15,8.592857143,0.66,1.65,2.29,0.1869,15,2.93333,11.4375,50.1,-2.4,-2.25,0
57,Boulder,K,D,6,K06,K6D,DK6,15,8.757142857,tr,tr,tr,0.1424,9,3.77778,14.66,70.485,NA,NA,2
58,Boulder,K,D,7,K07,K7D,DK7,15,12.1,0.68,1.4,2.92,0.5622,4,3.875,13.82,80.4,NA,NA,2
59,Boulder,K,D,8,K08,K8D,DK8,15,7.98,1.02,2.11,2.88,0.3398,13,3.51538,15.36,58.4,-6.5,-4.75,0
60,Boulder,K,D,9,K09,K9D,DK9,15,6.866666667,1.02,2.73,3.34,0.2732,15,3.17143,18.50667,55,NA,NA,2
61,Boulder,K,D,10,K10,K10D,DK10,15,7.55625,0.79,1.3,2.22,0.1269,3,2.3,9.7,40.64,NA,NA,2
62,Boulder,K,D,11,K11,K11D,DK11,15,10.3,0.28,0.63,1.8,0.4045,2,4.5,13.76667,69.9,NA,NA,2
63,Boulder,K,D,12,K12,K12D,DK12,15,7.2,1.37,1.95,3.47,0.16,14,3.37857,9.21875,53.4,-3.75,-4,0
64,Boulder,K,D,13,K13,K13D,DK13,15,8.058333333,tr,tr,tr,0.1083,12,2.2,7.31538,45.4,NA,NA,2
65,Boulder,K,D,14,K14,K14D,DK14,15,8.191666667,tr,tr,tr,0.0394,4,2.825,7.26,47.4,NA,NA,2
66,Boulder,K,D,15,K15,K15D,DK15,15,6.95,1.18,1.85,3.24,0.1768,15,3.76,12.70588,47.3,NA,NA,2
67,Boulder,K,D,16,K16,K16D,DK16,15,9.3,tr,tr,tr,0.0404,6,2.96667,5.1,73.5,NA,NA,2
68,Boulder,K,D,17,K17,K17D,DK17,15,6.94,0.93,1.9,4.38,0.5401,19,2.9,15.81818,70.1,NA,NA,2
69,Boulder,W,ND,1,W01,W1ND,NDW1,28,26.125,2.62,2.49,4.54,0.3112,11,4.4,31.89231,73,-6.5,-2.95,0
70,Boulder,W,ND,2,W02,W2ND,NDW2,28,28.2875,0.54,1.24,1.92,0.1556,2,3.35,7.16667,53.3,NA,NA,2
71,Boulder,W,ND,3,W03,W3ND,NDW3,28,27.38,1.61,1.75,4.01,0.2466,11,4.26364,23.87692,79.5,-5,-5.1,0
72,Boulder,W,ND,4,W04,W4ND,NDW4,28,28.54,2.07,1.95,4.57,0.3003,17,3.10588,17.76842,84.6,NA,NA,2
73,Boulder,W,ND,5,W05,W5ND,NDW5,28,NA,no pot,no pot,no pot,NA,NA,NA,NA,9.3,NA,NA,7
74,Boulder,W,ND,6,W06,W6ND,NDW6,28,27.21,1.78,2.22,4.68,0.1117,8,3.05,11.61,66.4,-3.55,-7,0
75,Boulder,W,ND,7,W07,W7ND,NDW7,28,28.15,0.98,1.79,3.72,0.4178,12,2.83333,17.38571,65.5,NA,NA,2
76,Boulder,W,ND,8,W08,W8ND,NDW8,28,27.8,2.02,1.64,4.68,0.157,5,3.68,26.53333,63.9,NA,NA,2
77,Boulder,W,ND,9,W09,W9ND,NDW9,28,28.425,1.38,1.66,4.11,0.2221,6,3.8,10.94286,79,-6.1,-6.1,0
78,Boulder,W,ND,10,W10,W10ND,NDW10,28,26.4,2.04,2.98,4.17,0.2194,12,3.84167,26.70714,73.3,-4,-5.05,0
79,Boulder,W,ND,11,W11,W11ND,NDW11,28,NA,no pot,no pot,no pot,NA,NA,NA,NA,7.4,NA,NA,7
80,Boulder,W,ND,12,W12,W12ND,NDW12,28,28.29,1.4,1.67,3.65,0.1246,9,3.15556,17.94545,74.7,-1.9,-2.9,0
81,Boulder,W,ND,13,W13,W13ND,NDW13,28,28.3375,0.55,0.89,2.1,0.0578,0,NA,NA,70.5,NA,NA,4
82,Boulder,W,ND,14,W14,W14ND,NDW14,28,27.875,2.01,3.05,4.68,0.4219,20,3.85263,26.35714,73.8,-4.95,-3.7,0
83,Boulder,W,ND,15,W15,W15ND,NDW15,28,28.6125,1.21,1.95,4.49,0.1696,11,2.92727,10.90769,67.5,NA,NA,2
84,Boulder,W,ND,16,W16,W16ND,NDW16,28,29.3,0.2,0.65,0.85,0.0836,0,NA,NA,65.1,NA,NA,4
85,Boulder,W,ND,17,W17,W17ND,NDW17,28,NA,no pot,no pot,no pot,NA,0,NA,NA,NA,NA,NA,7
86,Boulder,W,D,1,W01,W1D,DW1,27,11.69375,0.27,0.68,1.26,0.0393,0,NA,NA,53,-0.5,-1.6,2
87,Boulder,W,D,2,W02,W2D,DW2,27,7.95,no pot,no pot,no pot,NA,0,NA,NA,6.6,NA,NA,5
88,Boulder,W,D,3,W03,W3D,DW3,27,7.88125,1.28,3.04,4.05,0.1934,12,3.76667,18.45,52.3,-4.5,-4.5,0
89,Boulder,W,D,4,W04,W4D,DW4,27,10.55625,0.84,0.99,2.56,0.0399,2,3.2,9.83333,56.5,NA,NA,2
90,Boulder,W,D,5,W05,W5D,DW5,27,8.4125,0.23,tr,tr,0.3272,17,3.21765,21.32632,57.6,NA,NA,2
91,Boulder,W,D,6,W06,W6D,DW6,27,10.35,0.23,1.9,2.21,0.185,1,3.4,22.6,57.7,-1.5,-1.7,0
92,Boulder,W,D,7,W07,W7D,DW7,27,8.735714286,0.75,2.06,3.17,0.2349,7,3.31429,29.4875,57.2,NA,NA,2
93,Boulder,W,D,8,W08,W8D,DW8,27,10.95,no pot,no pot,no pot,NA,0,NA,NA,6,NA,NA,5
94,Boulder,W,D,9,W09,W9D,DW9,27,11.0625,0.64,1.26,2.26,0.1659,0,NA,NA,73.4,-3.4,-2.15,2
95,Boulder,W,D,10,W10,W10D,DW10,27,8.541666667,0.8,1.61,2.74,0.1038,7,4.02857,18.14444,54,-6.5,-5.7,0
96,Boulder,W,D,11,W11,W11D,DW11,27,7.46875,tr,tr,tr,0.3161,13,4.14615,30.59333,50.8,NA,NA,2
97,Boulder,W,D,12,W12,W12D,DW12,27,8.6,1.15,1.77,3.69,0.2193,6,3.25,35.58571,68,-6.5,-7,0
98,Boulder,W,D,13,W13,W13D,DW13,27,7.621428571,tr,tr,tr,0.241,12,3.45,26.21538,73.66,NA,NA,2
99,Boulder,W,D,14,W14,W14D,DW14,27,13.02,0.21,1,1.45,0.0771,0,NA,NA,57.1,-0.35,-1.4,2
100,Boulder,W,D,15,W15,W15D,DW15,27,6.778571429,tr,tr,tr,0.317,27,2.91111,14.18621,69,NA,NA,2
101,Boulder,W,D,16,W16,W16D,DW16,27,NA,no pot,no pot,no pot,NA,NA,NA,NA,6.2,NA,NA,7
102,Boulder,W,D,17,W17,W17D,DW17,27,NA,no pot,no pot,no pot,NA,NA,NA,NA,NA,NA,NA,8
103,Boulder,BT,ND,1,BT01,BT1ND,NDBT1,6,27.12,2.22,2.18,4.25,0.2693,12,3.6,19.71538,58.3,-2.85,-3,0
104,Boulder,BT,ND,2,BT02,BT2ND,NDBT2,6,26.88,1.88,1.78,4.57,0.4895,17,3.5,25.77368,63,NA,NA,2
105,Boulder,BT,ND,3,BT03,BT3ND,NDBT3,6,29.01666667,2.51,1.75,6.44,0.2161,8,3.5625,22.72,61.4,NA,NA,2
106,Boulder,BT,ND,4,BT04,BT4ND,NDBT4,6,26.94,2.36,1.94,5.59,0.2498,12,3.54167,25.77692,58,NA,NA,2
107,Boulder,BT,ND,5,BT05,BT5ND,NDBT5,6,28.1,0.96,1.96,4.05,0.2525,15,3.8,14.54118,65.2,-3.1,-3,0
108,Boulder,BT,ND,6,BT06,BT6ND,NDBT6,6,28.57,1.11,1.31,3.17,0.049,1,4.6,18.65,75.6,-4.2,-4.55,0
109,Boulder,BT,ND,7,BT07,BT7ND,NDBT7,6,28.32,1.16,1.26,2.7,0.2038,8,3.275,11.4,60.1,-2.05,-2.1,0
110,Boulder,BT,ND,8,BT08,BT8ND,NDBT8,6,27.5,1.92,2.02,5.57,0.2814,11,3.15455,18.825,71.6,NA,NA,2
111,Boulder,BT,ND,9,BT09,BT9ND,NDBT9,6,29.03333333,1.13,1.16,3.74,0.2526,6,3.8,13.3875,63.5,NA,NA,2
112,Boulder,BT,ND,10,BT10,BT10ND,NDBT10,6,29.71666667,0.66,0.71,0.96,0,0,NA,NA,49,-0.65,-1.65,2
113,Boulder,BT,ND,11,BT11,BT11ND,NDBT11,6,28.1875,0.95,0.93,2.29,0.098,2,2.6,7.93333,59.1,NA,NA,2
114,Boulder,BT,ND,12,BT12,BT12ND,NDBT12,6,29.2,no pot,no pot,no pot,NA,0,NA,NA,7.6,NA,NA,5
115,Boulder,BT,ND,13,BT13,BT13ND,NDBT13,6,28.95,1.63,2.24,3.84,0.1775,15,2.94667,11.76471,56.515,-1.85,-2.2,0
116,Boulder,BT,ND,14,BT14,BT14ND,NDBT14,6,27.5,0.8,0.78,2.14,0,0,NA,NA,46.9,-0.95,-1.95,2
117,Boulder,BT,ND,15,BT15,BT15ND,NDBT15,6,28.9375,1.7,2.09,4.45,0.2392,15,3.00667,19.57647,68.4,NA,NA,2
118,Boulder,BT,ND,16,BT16,BT16ND,NDBT16,6,28.075,1.32,1.78,3.77,0.1864,9,2.83333,21.87,62.9,NA,NA,2
119,Boulder,BT,ND,17,BT17,BT17ND,NDBT17,6,27.98333333,2.01,2.12,3.87,0.2521,14,3.34286,17.32,70.3,NA,NA,2
120,Boulder,BT,D,1,BT01,BT1D,DBT1,5,8.788888889,0.67,1.54,2.79,0.2191,4,3.225,17.54,43.8,-3.45,-3.45,0
121,Boulder,BT,D,2,BT02,BT2D,DBT2,5,7.775,tr,tr,tr,0.206,6,3.86667,12.4875,53.34,NA,NA,2
122,Boulder,BT,D,3,BT03,BT3D,DBT3,5,7.2875,0.99,1.57,3.94,0.2264,10,3.42,21.41667,57.785,NA,NA,2
123,Boulder,BT,D,4,BT04,BT4D,DBT4,5,8.50625,tr,tr,tr,0.106,8,2.425,10.68,41.2,NA,NA,2
124,Boulder,BT,D,5,BT05,BT5D,DBT5,5,10.55625,0.37,0.6,1.96,0.0952,2,3.2,20.43333,42.7,-2.1,-2.75,0
125,Boulder,BT,D,6,BT06,BT6D,DBT6,5,6.891666667,1.15,1.45,4.07,0.1394,10,3.15,16.7,67.8,-3.85,-6.5,0
126,Boulder,BT,D,7,BT07,BT7D,DBT7,5,7.7625,1.12,1.2,3.65,0.0481,2,2.8,8.4,57.9,-5.45,-6.05,0
127,Boulder,BT,D,8,BT08,BT8D,DBT8,5,6.608333333,1.07,1.48,4.2,0.1734,12,3.18333,11.53077,62,NA,NA,2
128,Boulder,BT,D,9,BT09,BT9D,DBT9,5,8.114285714,0.75,1.86,3.66,0.2613,10,3.32,12.15,59.2,NA,NA,2
129,Boulder,BT,D,10,BT10,BT10D,DBT10,5,11.56,0.69,1.1,1.87,0.0256,3,2.46667,5.825,51.435,-2.65,-2.8,0
130,Boulder,BT,D,11,BT11,BT11D,DBT11,5,14.2,no pot,no pot,no pot,NA,0,NA,NA,7.5,NA,NA,5
131,Boulder,BT,D,12,BT12,BT12D,DBT12,5,11.45,no pot,no pot,no pot,NA,0,NA,NA,4.7,NA,NA,5
132,Boulder,BT,D,13,BT13,BT13D,DBT13,5,8.307142857,0.97,1.88,3.48,0.1991,14,2.48571,11.1375,59.6,-3.75,-7,0
133,Boulder,BT,D,14,BT14,BT14D,DBT14,5,12.16666667,0.4,0.33,1.48,0.05,0,NA,NA,50.1,-2.5,-6.5,2
134,Boulder,BT,D,15,BT15,BT15D,DBT15,5,8.442857143,tr,tr,tr,0.1148,9,3.14444,10.07273,71.755,NA,NA,2
135,Boulder,BT,D,16,BT16,BT16D,DBT16,5,11.3,tr,tr,tr,0.1132,2,2.7,9.86667,64,NA,NA,2
136,Boulder,BT,D,17,BT17,BT17D,DBT17,5,8.1,1.16,1.73,3.18,0.1668,9,3.21111,11.90909,56.7,NA,NA,2
137,Boulder,DM,ND,1,DM01,DM1ND,NDDM1,12,28.11,0.6,0.98,2.13,0.3007,8,2.4875,13.22222,48.5,-0.8,-1.5,0
138,Boulder,DM,ND,2,DM02,DM2ND,NDDM2,12,27.88,1.65,2,3.49,0.0305,0,NA,NA,56.1,NA,NA,4
139,Boulder,DM,ND,3,DM03,DM3ND,NDDM3,12,28.27,0.06,0.36,0.08,0.0247,1,1.4,2.1,21.6,NA,NA,2
140,Boulder,DM,ND,4,DM04,DM4ND,NDDM4,12,30.075,1.07,1.27,2.47,0.2746,8,3.2625,25.12,65.7,-0.3,-1.75,0
141,Boulder,DM,ND,5,DM05,DM5ND,NDDM5,12,27.4875,1.28,1.97,2.66,0.0992,8,3.075,10.81111,62.6,-2.6,-1.65,0
142,Boulder,DM,ND,6,DM06,DM6ND,NDDM6,12,27.38,1.03,1.89,2.98,0.0408,2,3.35,13.53333,42.1,NA,NA,2
143,Boulder,DM,ND,7,DM07,DM7ND,NDDM7,12,27.4125,1.17,2.01,4.38,0.1783,7,3.8,11.75,66.04,NA,NA,2
144,Boulder,DM,ND,8,DM08,DM8ND,NDDM8,12,28,1.28,1.49,2.7,0.2241,5,3.88,21.05,75.7,NA,NA,2
145,Boulder,DM,ND,9,DM09,DM9ND,NDDM9,12,25.86666667,1.91,1.84,2.85,0.0075,0,NA,NA,60.96,NA,NA,4
146,Boulder,DM,ND,10,DM10,DM10ND,NDDM10,12,27.25,1.76,2.07,3.52,0.0068,1,4,3.4,59.8,-2.3,-2.3,0
147,Boulder,DM,ND,11,DM11,DM11ND,NDDM11,12,27.55,1.02,1.84,3.15,0.2442,12,2.88333,16.13571,54.2,NA,NA,2
148,Boulder,DM,ND,12,DM12,DM12ND,NDDM12,12,27.675,0.76,0.7,2.53,0.1052,0,NA,NA,62.5,-0.25,-1.35,2
149,Boulder,DM,ND,13,DM13,DM13ND,NDDM13,12,27,1.15,0.95,1.92,0.2518,4,3.65,21.24,61.4,NA,NA,2
150,Boulder,DM,ND,14,DM14,DM14ND,NDDM14,12,27.66666667,0.69,0.88,1.67,0.1467,0,NA,NA,58.5,NA,NA,4
151,Boulder,DM,ND,15,DM15,DM15ND,NDDM15,12,27.38333333,2.11,1.99,2.75,0.059,5,3.5,9.03333,58.42,NA,NA,2
152,Boulder,DM,ND,16,DM16,DM16ND,NDDM16,12,26.66666667,1.08,0.88,2.6,0.2485,5,3.18,15.98571,57.785,-0.5,-1.2,0
153,Boulder,DM,ND,17,DM17,DM17ND,NDDM17,12,25.98333333,1.64,1.38,3.69,0.1441,7,3.41429,24.9875,71.9,-0.55,-1.9,0
154,Boulder,DM,D,1,DM01,DM1D,DDM1,11,10.63333333,0.13,0.34,1.36,0.2462,2,2.7,15.8,50.4,-0.35,-1.75,0
155,Boulder,DM,D,2,DM02,DM2D,DDM2,11,7.433333333,tr,tr,tr,0.2716,13,3.37692,24.75333,50.8,NA,NA,2
156,Boulder,DM,D,3,DM03,DM3D,DDM3,11,13.25,NA,NA,NA,NA,0,NA,NA,20.955,NA,NA,8
157,Boulder,DM,D,4,DM04,DM4D,DDM4,11,7.8125,0.77,1.26,3.62,0.3835,12,3.425,26.17143,63.5,-2.6,-2.75,0
158,Boulder,DM,D,5,DM05,DM5D,DDM5,11,9.335714286,0.78,1.28,2.46,0.0334,3,2.8,5,52,-4.5,-4.5,0
159,Boulder,DM,D,6,DM06,DM6D,DDM6,11,11.31428571,no pot,no pot,no pot,NA,0,NA,NA,11.3,NA,NA,5
160,Boulder,DM,D,7,DM07,DM7D,DDM7,11,7.7,1.15,1.98,3.67,0.1272,9,3.3,11.87,63.4,NA,NA,2
161,Boulder,DM,D,8,DM08,DM8D,DDM8,11,7.71875,0.72,1.42,3.75,0.4449,8,3.975,17.44444,83,NA,NA,2
162,Boulder,DM,D,9,DM09,DM9D,DDM9,11,8.966666667,0.68,1.07,2.88,0.0547,0,NA,NA,52.7,NA,NA,4
163,Boulder,DM,D,10,DM10,DM10D,DDM10,11,7.175,0.95,1.27,2.5,0.1282,10,3.03636,10.47692,49.5,-3.1,-2.8,0
164,Boulder,DM,D,11,DM11,DM11D,DDM11,11,8.5125,tr,tr,tr,0.1247,8,3.0625,13.33,49.53,NA,NA,2
165,Boulder,DM,D,12,DM12,DM12D,DDM12,11,8.216666667,0.53,1,2.42,0.1671,0,NA,NA,56.7,-1.4,-2.4,2
166,Boulder,DM,D,13,DM13,DM13D,DDM13,11,7.735714286,tr,tr,tr,0.2311,8,3.475,17.81111,55.245,NA,NA,2
167,Boulder,DM,D,14,DM14,DM14D,DDM14,11,7.35,tr,tr,tr,0.1876,17,2.67059,13.45,55.88,NA,NA,2
168,Boulder,DM,D,15,DM15,DM15D,DDM15,11,7.3,1.4,1.74,3.3,0.0148,1,4.4,7.4,55.9,NA,NA,2
169,Boulder,DM,D,16,DM16,DM16D,DDM16,11,7.966666667,0.61,1.23,3.05,0.3403,7,2.97143,14.85556,59.8,-2.7,-1.75,0
170,Boulder,DM,D,17,DM17,DM17D,DDM17,11,8.3,0.78,1.57,2.4,0.274,8,3,24.27778,58,-4.3,-5,0
171,Boulder,HV,ND,1,HV01,HV1ND,NDHV1,14,27.975,1.63,2.27,4.71,0.2526,18,4.31111,11.28,77.5,NA,NA,2
172,Boulder,HV,ND,2,HV02,HV2ND,NDHV2,14,27.56666667,0.29,1.03,1.94,0.0322,0,NA,NA,53.8,-0.6,-6.5,2
173,Boulder,HV,ND,3,HV03,HV3ND,NDHV3,14,26.88,1.68,1.97,4.85,0.3311,15,3.78,20.85882,73.9,-3.9,-4.16,0
174,Boulder,HV,ND,4,HV04,HV4ND,NDHV4,14,25.3875,1.28,2.59,4.3,0.1236,10,3.54,9.75,65,-3.1,-3.1,0
175,Boulder,HV,ND,5,HV05,HV5ND,NDHV5,14,NA,no pot,no pot,no pot,NA,NA,NA,NA,3.5,NA,NA,7
