pop,lat,long,vpdmax,ppt,tmin,tmean,elev,ai,scaled,gsai,annual_AI_CGIAR,elevation_m,annual_mean_temp,mean_diurnal_temp_range,isothermality,temperature_seasonality,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,mean_temp_wettest_quarter,mean_temp_driest_quarter,mean_temp_warmest_quarter,mean_temp_coldest_quarter,annual_precip,wettest_month_precip,driest_month_precip,precip_seasonality,precip_wettest_quarter,precip_driest_quarter,precip_warmest_quarter,precip_coldest_quarter,PDHI_exep_drt_months_year,median_year_PDHI
A,40.04623,-105.207,17.66,409.16,1.82,10.12,1584,3418,0.270033425,0.279440299,0.3418,1595,10.16666664,16.58333338,41.45833246,857.7145446,30.20000076,-9.800000191,40.00000095,14.0500001,0.050000032,21.1500001,0.050000032,454,70,15,43.94633359,177,49,130,49,88,1.185
BG,43.89198,-102.063,16,457.79,1.44,8.93,782,3744,0.260014221,0.359766871,0.3744,786,8.512499911,15.07499982,33.80044847,1081.377745,30.79999924,-13.80000019,44.59999943,19.01666649,-4.716666639,21.93333324,-4.716666639,422,76,8,65.85304614,207,28,175,28,49,1.455
BT,40.0993,-105.274,17.26,470.42,2.13,10.08,1651,3596,0.28409602,0.323291139,0.3596,1660,9.795833382,16.34166671,41.68792549,842.4894411,29.39999962,-9.800000191,39.19999981,13.46666675,-0.033333381,20.63333352,-0.033333381,460,71,15,44.42488957,180,49,134,49,88,1.185
CIB,34.4919,-106.417,20.11,370.41,3.62,11.86,1876,2417,0.190951079,0.257819635,0.2417,1874,11.44166668,16.06666661,43.18996423,779.5069307,29.5,-7.699999809,37.19999981,20.38333337,3.733333389,21.18333324,2.016666651,336,64,14,62.05154754,167,45,141,49,90,-0.46
CO,37.65558,-103.669,20.39,362.29,3.04,11.82,1431,2339,0.184788818,0.245331858,0.2339,1432,11.97500002,17.23333335,40.54901965,934.034498,33.5,-9,42.5,21.21666678,0.733333349,23.69999981,0.733333349,323,54,8,58.69021385,141,26,140,26,63,0.87
CP,41.20855556,-101.6463889,,,,,,,,,0.3905,967,9.84583353,14.32500023,33.86524861,1003.710079,30.60000038,-11.69999981,42.30000019,19.75000008,-2.383333286,22.40000025,-2.383333286,446,79,11,62.41223158,215,38,177,38,80,1.035
DM,39.9643,-105.206,17.01,449.66,2.35,10.19,1690,3760,0.297052568,0.305592784,0.376,1742,9.86666668,15.9833335,41.40760035,831.7241888,29.29999924,-9.300000191,38.59999943,13.33333331,0.233333429,20.61666632,0.233333429,480,71,16,43.48159962,186,53,139,53,88,1.185
HV,40.15355,-105.298,15.95,493.24,2,9.44,1835,3804,0.300528715,0.363364238,0.3804,1849,8.38333338,14.9500001,41.18457305,801.108137,26.60000038,-9.699999809,36.30000019,11.68333358,-0.783333302,18.75000016,-0.783333302,444,66,16,41.83525869,168,52,142,52,88,1.185
K,39.91674,-105.207,16.39,445.36,2.3,9.9,1788,3806,0.300686722,0.301053316,0.3806,1791,9.620833317,16.20833325,42.09956689,827.0606767,29,-9.5,38.5,13.00000004,0.083333254,20.31666676,0.083333254,482,71,15,43.17944083,184,52,143,52,88,1.185
KNZ,39.075416,-96.6031195,,,,,,,,,0.7597,432,12.0833334,11.94999999,29.21760348,1031.125462,31.60000038,-9.300000191,40.90000057,22.00000016,-1.099999984,24.48333359,-1.099999984,891,135,21,51.50602468,362,72,323,72,62,0.84
RC,39.936,-105.108,17.26,412.48,2.29,10.34,1633,3500,0.276511699,0.284873418,0.35,1626,10.31666672,16.00000017,40.71246842,855.5390054,30,-9.300000191,39.30000019,14.01666679,0.366666635,21.35000022,0.366666635,455,70,15,44.41834466,178,49,136,49,88,1.185
RM,40.24844,-105.217,15.92,415,1.91,9.53,1742,3548,0.280303859,0.308215661,0.3548,1740,9.366666739,15.98333338,41.08826102,846.1526061,29,-9.899999619,38.89999962,13.01666659,-0.46666646,20.25,-0.46666646,436,68,14,45.71916827,173,45,135,45,88,1.185
SEV,34.341479,-106.622407,23.08,309.76,4.39,13.12,1669,1933,0.152713461,0.201980306,0.1933,1678,12.76249992,16.97499985,43.19338467,816.1609758,31.79999924,-7.5,39.29999924,22.18333308,7.99999994,22.89999978,2.833333333,277,57,10,67.77800726,144,32,120,38,90,-0.46
SGS,40.83583,-104.763,15.78,345.43,0.52,8.54,1659,3291,0.26,0.281518662,0.3291,1668,8.900000165,16.25000018,40.52369083,877.0275185,29.20000076,-10.89999962,40.10000038,17.41666698,-1.299999714,20.16666683,-1.299999714,369,62,9,58.91034509,169,28,146,28,88,1.185
ST,40.14968,-105.231,17.06,421.18,1.97,9.99,1643,3500,0.276511699,0.293972257,0.35,1631,9.783333309,16.83333332,41.87396368,856.9510859,29.89999962,-10.30000019,40.19999981,13.58333336,-0.250000159,20.7833333,-0.250000159,449,70,15,44.69427249,176,48,133,48,88,1.185
W,40.0595,-105.295,16.94,517.96,2.3,10.03,1732,3781,0.298711638,0.361716515,0.3781,1760,9.237499918,15.44166659,41.28787796,815.010109,28.10000038,-9.300000191,37.40000057,12.63333327,-0.133333445,19.79999987,-0.133333445,464,69,15,42.06567059,177,52,140,52,88,1.185
WR,39.95022,-105.337,13.94,539.64,1.13,7.98,2200,4254,0.336080219,0.391281337,0.4254,2208,6.575000055,15.03333353,42.70833295,758.2470919,24.20000076,-11,35.20000076,13.96666694,-1.966666698,16.43333348,-1.966666698,455,60,16,39.1459054,165,58,156,58,88,1.185